"id_nomenclature";"id_type";"cd_nomenclature";"mnemonique";"label_default"
755;143;"41";"41- expansion naturelle des crues (contrôle des crues; écrêtement des crues; stockage des eaux de crues; prévention des inondations)";"41- expansion naturelle des crues (contrôle des crues; écrêtement des crues; stockage des eaux de crues; prévention des inondations)"
756;143;"42";"42- ralentissement du ruissellement";"42- ralentissement du ruissellement"
757;143;"43";"43- soutien naturel d’étiage (alimentation des nappes phréatiques; émergence des nappes phréatiques; recharge et protection des nappes phréatiques)";"43- soutien naturel d’étiage (alimentation des nappes phréatiques; émergence des nappes phréatiques; recharge et protection des nappes phréatiques)"
977;155;"22";Roselière, cariçaie;Roselière, cariçaie
758;143;"44";"44- fonctions d’épuration (rétention de sédiments et de produits toxiques; recyclage et stockage de matière en suspension; régulation des cycles trophiques par exportation de matière organique; influence sur les cycles du carbone et de l’azote)";"44- fonctions d’épuration (rétention de sédiments et de produits toxiques; recyclage et stockage de matière en suspension; régulation des cycles trophiques par exportation de matière organique; influence sur les cycles du carbone et de l’azote)"
759;143;"50";"50- fonctions de protection du milieu physique";"50- fonctions de protection du milieu physique"
760;143;"51";"51- rôle naturel de protection contre l’érosion";"51- rôle naturel de protection contre l’érosion"
761;144;"1";Nulle à faible;Nulle à faible
762;144;"2";Moyenne;Moyenne
763;144;"3";Forte;Forte
764;144;"0";Non évaluée;Non évaluée
765;145;"0";Lacunaire ou nulle;Lacunaire ou nulle
766;145;"1";Bonne;Bonne
767;146;"60";"60- fonction d’habitat pour les populations animales ou vegetales";"60- fonction d’habitat pour les populations animales ou vegetales"
768;146;"61";"61- connexions biologiques (continuité avec d’autres milieux naturels), zone d’échanges, zone de passages, corridor écologique (faune, flore)";"61- connexions biologiques (continuité avec d’autres milieux naturels), zone d’échanges, zone de passages, corridor écologique (faune, flore)"
769;146;"62";"62- étapes migratoires, zones de stationnement, dortoirs";"62- étapes migratoires, zones de stationnement, dortoirs"
770;146;"63";"63- zone particulière d’alimentation pour la faune";"63- zone particulière d’alimentation pour la faune"
771;146;"64";"64- zone particulière liée à la reproduction";"64- zone particulière liée à la reproduction"
772;146;"70";"70- autre interet fonctionnel d’ordre ecologique (préciser dans l’encart réservé aux remarques)";"70- autre interet fonctionnel d’ordre ecologique (préciser dans l’encart réservé aux remarques)"
943;154;"1";Grands estuaires;"01 - grands estuaires"
944;154;"2";Baies et estuaires moyens-plats;"02 - baies et estuaires moyens-plats"
945;154;"3";Marais et lagunes côtiers;"03 - marais et lagunes côtiers"
946;154;"4";Marais saumâtres aménagés;"04 - marais saumâtres aménagés"
947;154;"5";Bordures de cours d'eau;"05 - bordures de cours d'eau"
948;154;"6";Plaines alluviales;"06 - plaines alluviales"
949;154;"7";Zones humides de bas fonds en tête de bassin;"07 - zones humides de bas fonds en tête de bassin"
950;154;"8";Régions d'étangs;"08 - régions d'étangs"
951;154;"9";Petits plans d'eau et bordures de plans d'eau;"09 - petits plans d'eau et bordures de plans d'eau"
952;154;"10";Marais et landes humides de plaines et plateaux;"10 - marais et landes humides de plaines et plateaux"
953;154;"11";Zones humides ponctuelles;"11 - zones humides ponctuelles"
954;154;"12";Marais aménagés dans un but agricole;"12 - marais aménagés dans un but agricole"
955;154;"13";Zones humides artificielles;"13 - zones humides artificielles"
956;155;"1";Arrière-dune;Arrière-dune
957;155;"2";Bassin aquacole;Bassin aquacole
958;155;"3";Carrière en eau;Carrière en eau
959;155;"4";Forêt alluviale;Forêt alluviale
960;155;"5";Forêt inondable;Forêt inondable
961;155;"6";Herbier, récif;Herbier, récif
962;155;"7";Lagune;Lagune
963;155;"8";Lande humide;Lande humide
964;155;"9";Marais d'altitude;Marais d'altitude
965;155;"10";Marais salant;Marais salant
966;155;"11";Mare;Mare
967;155;"12";Petit lac;Petit lac
968;155;"13";Peupleraie;Peupleraie
969;155;"14";Prairie amendée;Prairie amendée
970;155;"15";Prairie inondable;Prairie inondable
971;155;"16";Prairie tourbeuse;Prairie tourbeuse
972;155;"17";Prés salés;Prés salés
973;155;"18";Prés salé continental;Prés salé continental
974;155;"19";Réservoir-barrage;Réservoir-barrage
975;155;"20";Ripisylve;Ripisylve
976;155;"21";Rizière;Rizière
978;155;"23";Tourbière;Tourbière
979;155;"24";Vasière;Vasière
980;155;"25";Végétation aquatique;Végétation aquatique
1076;171;"1";Horizons histiques (ou tourbeux) débutant à moins de 50 cm de la surface du sol et d'une épaisseur d'au moins 50 cm;Horizons histiques (ou tourbeux) débutant à moins de 50 cm de la surface du sol et d'une épaisseur d'au moins 50 cm
1077;171;"2";Traits reductiques débutant à moins de 50 cm de la surface du sol;Traits reductiques débutant à moins de 50 cm de la surface du sol
1078;171;"3";Traits rédoxiques débutant à moins de 25 cm de profondeur dans le sol et se prolongeant ou s'intensifiant en profondeur;Traits rédoxiques débutant à moins de 25 cm de profondeur dans le sol et se prolongeant ou s'intensifiant en profondeur
1079;171;"4";Traits rédoxiques débutant à moins de 50 cm de profondeur dans le sol et se prolongeant ou s'intensifiant en profondeur et traits reductiques apparaissant entre 80 cm et 120 cm de profondeur;Traits rédoxiques débutant à moins de 50 cm de profondeur dans le sol et se prolongeant ou s'intensifiant en profondeur et traits reductiques apparaissant entre 80 cm et 120 cm de profondeur
1080;171;"5";Cas particuliers;Cas particuliers
